Catalyst ID,Formula,Bulk Material ID,Element,Adsorbate Smiles,Adsorbate IUPAC Formula,Adsorption Energy,h,k,l,Surface Shift
random490132,Cu₆₄HN₂,mp-989695,Cu,*N*NH,N2 H1,1.718,1,0,1.0,0.458
random16308,Ag₃₆H₃C₂,mp-124,Ag,*CHCH2,C2 H3,-1.753,1,0,0.0,0.25
random1256967,Ni₃₆HCO,mp-1056486,Ni,*COHCOH,C2 H2 O2,-1.486,2,1,0.0,0.083
random758854,H₂Au₄₈CO,mp-1008634,Au,*CHOH,C1 H2 O1,-0.085,1,1,1.0,0.0
random2114984,Cu₆₄H₃C₂O,mp-989782,Cu,*COCH3,C2 H3 O1,-2.19,0,0,1.0,0.0
random1817809,Cu₉₆H(CO)₂,mp-1120774,Cu,*COCHO,C2 H1 O2,-0.395,1,0,1.0,0.291
random2138538,Ni₂₄H₃C₂,mp-1014111,Ni,*CHCH2,C2 H3,-2.948,2,-1,2.0,0.25
random2125914,H₄Pt₇₂C,mp-126,Pt,*CH4,C1 H4,-2.807,1,1,0.0,0.125
random1316347,Ni₃₆H₂N,mp-1094136,Ni,*NH2,N1 H2,2.094,2,1,0.0,0.167
random1590621,Cu₂₄H₂CO,mp-1010136,Cu,*OCH2CHOH,C2 H4 O2,-0.637,1,1,1.0,0.083
random2482750,Ag₄₈NO,mp-124,Ag,*NO,N1 O1,3.173,1,1,0.0,0.125
random2053664,Cu₇₂H₃CO,mp-989782,Cu,*OCH3,C1 H3 O1,-0.937,2,1,0.0,0.0
random496148,Ag₁₀₈HCO,mp-989737,Ag,*CHO,C1 H1 O1,0.275,2,1,1.0,0.037
random577845,Ni₂₄H₂C₂O,mp-1094136,Ni,CH2*CO,C2 H2 O1,-2.869,2,-1,2.0,0.0
random1196540,Ni₃₆H₃C₂O,mp-1014111,Ni,*COCH3,C2 H3 O1,-3.731,2,1,2.0,0.0
random2076924,Cu₆₄H₄C₂O,mp-1010136,Cu,*CHCH2OH,C2 H4 O1,-1.706,1,1,0.0,0.25
random1561982,Ni₄₈H₅C₂,mp-1014111,Ni,*CH2CH3,C2 H5,-4.33,2,2,1.0,0.019
random213778,Cu₁₀₈C,mp-1120774,Cu,*C,C1,7.102,2,1,0.0,0.167
random598668,Cu₇₂H₃(CO)₂,mp-1010136,Cu,*COHCHOH,C2 H3 O2,0.24,2,1,0.0,0.083
random2389607,HPt₅₄N,mp-126,Pt,*NH,N1 H1,-0.18,1,1,1.0,0.167
random1741634,H₅(Au₂₄C)₂,mp-81,Au,*CH2CH3,C2 H5,-3.247,1,1,0.0,0.125
random655477,Ni₉₆NO₂,mp-10257,Ni,*NO2,N1 O2,3.521,1,0,2.0,0.0
random165632,Ag₁₈C,mp-124,Ag,*C*C,C2,0.254,1,0,0.0,0.25
random1376675,Cu₆₄H₂CO,mp-1010136,Cu,*CH2*O,C1 H2 O1,-0.148,1,0,1.0,0.25
random1015685,Ni₂₄H₂CO,mp-10257,Ni,*CHOHCHOH,C2 H4 O2,-3.13,1,1,0.0,0.25
random1807372,Cu₇₂H₂C₂O,mp-989782,Cu,*CCHOH,C2 H2 O1,-0.107,2,1,2.0,0.167
random23141,Cu₆₄HO,mp-989695,Cu,*OH,H1 O1,0.306,1,0,1.0,0.208
random1968363,Cu₉₆N,mp-30,Cu,*N,N1,1.538,1,1,1.0,0.167
random1953331,H₂Au₄₈C₂O,mp-81,Au,*CHCHO,C2 H2 O1,-0.297,1,1,0.0,0.125
random793275,Ni₇₂HCO,mp-1056486,Ni,*CHO,C1 H1 O1,-2.081,2,1,0.0,0.083
random1085646,Cu₆₄H₃(CO)₂,mp-989782,Cu,*COHCHOH,C2 H3 O2,-0.332,2,0,1.0,0.0
random551263,Ni₁₈HCO,mp-1094136,Ni,*COCH2O,C2 H2 O2,-4.12,2,1,0.0,0.167
random1058624,Ni₁₈C,mp-1094136,Ni,*C*C,C2,-3.55,2,1,0.0,0.167
random2178737,Cu₆₄NO,mp-989695,Cu,*NO,N1 O1,2.335,1,0,1.0,0.458
random1163025,Ag₅₄H₄C,mp-989737,Ag,*CH4,C1 H4,-2.817,1,0,-2.0,0.222
random2475926,Cu₇₂HC,mp-30,Cu,*CH,C1 H1,-0.176,2,1,0.0,0.083
random2215637,Ni₂₄C,mp-1094136,Ni,*C,C1,-2.547,1,1,0.0,0.25
random588247,H₂Pt₇₂CO,mp-126,Pt,*CHOH,C1 H2 O1,-1.754,1,1,0.0,0.125
random1672198,H₂Au₇₂CO,mp-1008634,Au,*CHOH,C1 H2 O1,0.023,2,1,0.0,0.167
random1927620,Ni₃₆H₂CO,mp-1014111,Ni,*CHOH,C1 H2 O1,-2.354,2,1,1.0,0.0
random1497409,Ni₃₆H₅C₂O,mp-1094136,Ni,*CH2CH2OH,C2 H5 O1,-4.157,2,1,0.0,0.167
random2055896,Ni₃₂HN₂O,mp-1014111,Ni,*NONH,N2 H1 O1,1.402,1,0,2.0,0.0
random835689,Cu₇₂H,mp-989695,Cu,*H,H1,0.091,2,1,1.0,0.069
random1822261,Ni₂₄HC₂O,mp-1094136,Ni,*CCHO,C2 H1 O1,-3.468,1,1,0.0,0.25
random87764,HAu₁₈C,mp-81,Au,*CCH2,C2 H2,-0.512,1,0,0.0,0.25
random2142285,Cu₈₀HN₂O,mp-989782,Cu,*NONH,N2 H1 O1,2.024,2,-1,2.0,0.0
random2057203,H₂Pt₇₂C₂O,mp-126,Pt,*CCHOH,C2 H2 O1,-2.109,2,1,0.0,0.083
random2375047,Cu₆₄HO,mp-1010136,Cu,*OH,H1 O1,0.212,1,0,1.0,0.25
random1853261,Ni₆₄H₄C,mp-23,Ni,*CH4,C1 H4,-2.808,1,0,0.0,0.25
random543966,Ni₄₈N,mp-10257,Ni,*N,N1,-0.56,2,2,1.0,0.0
random209187,Cu₄₈C,mp-989782,Cu,*C,C1,0.955,1,1,0.0,0.25
random885108,Cu₄₈C,mp-989782,Cu,*C*C,C2,-0.826,1,0,2.0,0.0
random1405322,Ni₃₂H(CO)₂,mp-1014111,Ni,*COCHO,C2 H1 O2,-2.111,1,0,2.0,0.0
random2370401,Ni₂₄H₅(CO)₂,mp-1014111,Ni,*CHOHCH2OH,C2 H5 O2,-3.661,2,-1,2.0,0.25
random618813,Ni₆₄HC₂O,mp-10257,Ni,*CHCO,C2 H1 O1,-2.643,2,0,1.0,0.0
random818853,Cu₆₄H₆C₂O,mp-989695,Cu,*OHCH2CH3,C2 H6 O1,-3.727,1,0,1.0,0.208
random441048,Cu₁₀₈NO₂,mp-1120774,Cu,*NO2,N1 O2,3.231,2,1,1.0,0.042
random751342,Cu₉₆H₅C₂O,mp-989782,Cu,*OCH2CH3,C2 H5 O1,-3.78,1,0,2.0,0.0
random1698751,Ni₂₄HCO,mp-10257,Ni,*COHCOH,C2 H2 O2,-1.727,1,1,1.0,0.0
random2384729,Cu₇₂H₂C,mp-30,Cu,*CH2,C1 H2,-0.916,2,1,0.0,0.083
random1184586,Ni₃₂H₃C₂O,mp-1014111,Ni,*COCH3,C2 H3 O1,-3.342,1,0,0.0,0.0
random942675,Ni₄₈O,mp-10257,Ni,*O,O1,0.458,2,2,1.0,0.0
random2273465,Ni₃₂HC,mp-10257,Ni,*CH*CH,C2 H2,-3.481,2,0,1.0,0.0
random612072,Ni₉₆H₃C₂O,mp-1056486,Ni,*CCH2OH,C2 H3 O1,-2.846,1,1,0.0,0.125
random469818,H₃Au₄₈CO,mp-1008634,Au,*CH2OH,C1 H3 O1,-0.88,1,1,1.0,0.0
random520281,Au₄₈NO₃,mp-81,Au,*NO3,N1 O3,6.136,1,1,0.0,0.125
random1181392,H₂Au₇₂O,mp-1008634,Au,*OH2,H2 O1,-0.052,2,1,2.0,0.0
random1882891,Cu₁₀₈H₂CO,mp-1120774,Cu,*CH2*O,C1 H2 O1,-0.547,2,1,1.0,0.167
random2389494,Cu₄₈H₂C,mp-989695,Cu,*CH2,C1 H2,-0.785,2,-1,2.0,0.125
random2240114,H₆Au₃₆C₂N₂O,mp-1008634,Au,*ONN(CH3)2,C2 N2 H6 O1,-1.334,2,0,1.0,0.0
random545226,Ni₆₄H₄CO,mp-23,Ni,*OHCH3,C1 H4 O1,-2.053,1,0,0.0,0.25
random1055092,Ni₇₂H₃CO,mp-1056486,Ni,*CH2OH,C1 H3 O1,-1.268,2,1,0.0,0.083
random1923260,Ni₇₂C₂O,mp-23,Ni,*CCO,C2 O1,-2.509,2,1,0.0,0.083
random837276,Cu₇₂H₅C₂O,mp-989695,Cu,*CHOHCH3,C2 H5 O1,-2.914,2,1,1.0,0.069
random750352,H₂Au₇₂N₂O,mp-1008634,Au,*ONNH2,N2 H2 O1,2.468,2,1,1.0,0.167
random747568,Ni₂₄H(CO)₂,mp-1094136,Ni,*COCHO,C2 H1 O2,-2.336,2,-1,2.0,0.25
random748680,Cu₈₀HC₂,mp-1010136,Cu,*CCH,C2 H1,-1.014,2,1,2.0,0.05
random345527,Ni₃₆H₃C,mp-1014111,Ni,*CH3,C1 H3,-2.503,2,1,1.0,0.0
random2195310,Ni₆₄H₄C₂O,mp-23,Ni,*CHOHCH2,C2 H4 O1,-2.882,1,0,0.0,0.25
random1332936,Cu₆₄NO₂,mp-1010136,Cu,*NO2,N1 O2,3.496,2,1,1.0,0.125
random954183,Ag₇₂HN,mp-989737,Ag,*NH,N1 H1,1.299,1,1,0.0,0.25
random619562,Cu₃₂H₂CO,mp-1010136,Cu,*COHCH2OH,C2 H4 O2,-1.612,2,1,1.0,0.125
random2034089,Ag₃₀H₃CO,mp-124,Ag,*OCH3,C1 H3 O1,-0.961,2,2,1.0,0.05
random1240935,Cu₅₄C,mp-1010136,Cu,*C,C1,0.25,0,0,1.0,0.25
random678956,Cu₆₄HC,mp-989782,Cu,*CH,C1 H1,-0.008,0,0,1.0,0.0
random680006,Ag₈₁H₂CO,mp-989737,Ag,*CH2*O,C1 H2 O1,-0.435,1,0,-1.0,0.167
random1531657,Cu₄₀HN,mp-1010136,Cu,*NHNH,N2 H2,0.773,2,1,2.0,0.05
random1658231,Ni₂₄H₂CO,mp-1014111,Ni,*COHCH2OH,C2 H4 O2,0.323,2,2,1.0,0.019
random984878,Ni₇₂H₆C₂O,mp-10257,Ni,*OHCH2CH3,C2 H6 O1,-4.155,2,1,1.0,0.0
random1028493,Ni₇₂H₂O,mp-1056486,Ni,*OH2,H2 O1,-0.399,2,1,0.0,0.083
random1300309,Cu₃₆HCO,mp-989695,Cu,*CHO*CHO,C2 H2 O2,-1.369,2,1,0.0,0.056
random958071,Cu₆₄H₂C₂O,mp-30,Cu,*CCHOH,C2 H2 O1,-0.81,1,0,0.0,0.25
random1153752,H₂Pt₃₀CO,mp-126,Pt,*COHCH2OH,C2 H4 O2,-2.388,2,2,1.0,0.05
random234992,Cu₅₄H₂C,mp-1010136,Cu,*CH2,C1 H2,-0.721,1,0,0.0,0.25
random578192,Cu₇₂H₄C₂O,mp-1010136,Cu,*COHCH3,C2 H4 O1,-2.023,1,0,2.0,0.083
random661696,Ag₂₄HCO,mp-124,Ag,*COHCHO,C2 H2 O2,-0.119,1,1,0.0,0.125
random1759665,HAu₂₄CO,mp-1008634,Au,*COHCOH,C2 H2 O2,0.98,1,1,1.0,0.0
random2038006,H₂Au₁₈CO,mp-1008634,Au,*OCH2CHOH,C2 H4 O2,0.507,0,0,1.0,0.0
random1227728,Cu₉₆H₂C,mp-1120774,Cu,*CH2,C1 H2,-0.782,1,0,0.0,0.167
random1552922,Ni₆₄H₄C₂O,mp-10257,Ni,*CHOHCH2,C2 H4 O1,-3.488,2,0,1.0,0.0
random588832,HAu₃₆(CO)₂,mp-81,Au,*COCHO,C2 H1 O2,-0.148,1,0,0.0,0.25
random2182241,Cu₄₀H₂CO,mp-989782,Cu,*OCH2CHOH,C2 H4 O2,-0.732,2,-1,2.0,0.0
random855857,Cu₇₂HO,mp-989782,Cu,*OH,H1 O1,-0.093,2,1,1.0,0.167
random295563,Au₃₆C,mp-1008634,Au,*C,C1,2.627,2,0,1.0,0.0
random2087603,Au₈₀O,mp-1008634,Au,*O,O1,2.408,2,-1,2.0,0.2
random879392,Ni₇₂H₂O,mp-23,Ni,*OH2,H2 O1,-0.429,2,1,0.0,0.083
random1821418,HPt₆₀O,mp-126,Pt,*OH,H1 O1,1.268,2,2,1.0,0.05
random818243,Ni₇₂H₅C₂O,mp-23,Ni,*CH2CH2OH,C2 H5 O1,-3.406,2,1,0.0,0.083
random929573,Cu₆₄H₃CO,mp-989695,Cu,*CH2OH,C1 H3 O1,-0.916,1,0,0.0,0.167
random2320768,Ag₃₀NO,mp-124,Ag,*NO,N1 O1,3.231,2,2,1.0,0.05
random1910866,Ni₃₂HC,mp-1094136,Ni,*CH,C1 H1,5.063,1,0,1.0,0.0
random1280386,Cu₉₆HN,mp-30,Cu,*NH,N1 H1,0.739,1,1,0.0,0.125
random827004,HAu₈₀NO,mp-1008634,Au,*ONH,N1 H1 O1,3.023,2,-1,2.0,0.2
random1556483,Cu₆₄HC₂O,mp-1010136,Cu,*CCHO,C2 H1 O1,-0.751,1,1,0.0,0.25
random1925471,Cu₄₈H,mp-989695,Cu,*H,H1,0.11,2,-1,2.0,0.125
random2230644,Ni₆₄CN,mp-10257,Ni,*CN,C1 N1,-1.957,2,0,1.0,0.0
random2179256,Ag₅₄HN,mp-989737,Ag,*NHNH,N2 H2,1.241,2,1,1.0,0.037
random585032,Ni₆₄HN₂,mp-10257,Ni,*N*NH,N2 H1,0.119,1,0,1.0,0.0
random2077965,Ni₅₄HC,mp-1008728,Ni,*CH,C1 H1,-2.169,1,0,0.0,0.25
random698575,Cu₆₄H₄C₂O,mp-989782,Cu,*CHCH2OH,C2 H4 O1,-1.972,1,0,0.0,0.5
random2028763,Ni₁₂HCO,mp-1014111,Ni,*COHCOH,C2 H2 O2,-2.639,1,1,0.0,0.25
random1129003,Ag₁₅HC,mp-124,Ag,*CCH2,C2 H2,-0.51,2,2,1.0,0.05
random2232537,Ni₇₂H₃C₂,mp-23,Ni,*CHCH2,C2 H3,-3.307,2,1,0.0,0.083
random2190794,Cu₉₆H,mp-1120774,Cu,*H,H1,0.469,0,0,1.0,0.332
random942436,Cu₉₆HC₂,mp-30,Cu,*CCH,C2 H1,-1.344,1,1,0.0,0.125
random1661212,Cu₆₄H₄C₂O,mp-1010136,Cu,*CHCH2OH,C2 H4 O1,-1.572,1,1,0.0,0.25
random1294673,Ni₃₆HCO,mp-10257,Ni,*COHCHO,C2 H2 O2,-1.781,2,1,0.0,0.167
random1617921,Cu₇₂H₃C₂O,mp-989782,Cu,*CHCHOH,C2 H3 O1,-1.736,2,1,0.0,0.0
random435547,Cu₄₈HCO,mp-30,Cu,*COHCHO,C2 H2 O2,-0.153,1,1,0.0,0.125
random1460109,Cu₆₄H₂CO,mp-989695,Cu,*CH2*O,C1 H2 O1,-0.198,1,0,1.0,0.208
random2270619,Ag₈₁H₂(CO)₂,mp-989737,Ag,*COHCHO,C2 H2 O2,0.424,1,0,-1.0,0.056
random531430,Cu₃₆HCO,mp-1010136,Cu,*COCH2O,C2 H2 O2,-1.127,2,0,1.0,0.083
random1494998,Ag₅₄HC,mp-989737,Ag,*CH,C1 H1,1.909,1,0,-2.0,0.222
random1225869,H₄Pt₆₀C₂O,mp-126,Pt,*COHCH3,C2 H4 O1,-3.569,2,2,1.0,0.05
random130934,H(Au₁₈N)₂,mp-81,Au,*N*NH,N2 H1,1.792,1,0,0.0,0.25
random1671126,Ni₄₈H₅C₂O,mp-1094136,Ni,*CHOHCH3,C2 H5 O1,-1.776,2,2,1.0,0.019
random1964897,Ag₁₀₈NO₃,mp-989737,Ag,*NO3,N1 O3,5.228,1,1,1.0,0.028
random461901,Ni₆₄HO,mp-10257,Ni,*OH,H1 O1,0.198,1,0,1.0,0.0
random1101871,Au₄₈O,mp-1008634,Au,*O,O1,2.323,1,0,1.0,0.0
random1381379,Ag₁₆₂NO,mp-989737,Ag,*NO,N1 O1,3.225,2,1,-1.0,0.019
random768126,Ag₅₄H₃CO,mp-989737,Ag,*CH2OH,C1 H3 O1,-0.003,2,1,-2.0,0.074
random1955982,Ni₂₄H₅C₂O,mp-1094136,Ni,*CHOHCH3,C2 H5 O1,-4.402,1,1,0.0,0.25
random1887597,Ni₁₂HN,mp-1094136,Ni,*NHNH,N2 H2,-1.088,1,1,1.0,0.0
random1524943,Cu₆₄NO,mp-989782,Cu,*NO,N1 O1,2.496,0,0,1.0,0.0
random1686278,Ni₇₂H₆C₂N₂O,mp-10257,Ni,*ONN(CH3)2,C2 N2 H6 O1,-3.384,2,1,1.0,0.167
random2322601,HPt₇₂NO₂,mp-126,Pt,*ONOH,N1 H1 O2,3.728,2,1,0.0,0.083
random2172731,H₃(Pt₃₆C)₂,mp-126,Pt,*CCH3,C2 H3,-4.038,2,1,0.0,0.083
random1246901,Ni₆₄H₂N₂O,mp-1094136,Ni,*ONNH2,N2 H2 O1,-0.12,2,0,1.0,0.0
random2328075,Cu₉₆H₂O,mp-989695,Cu,*OH2,H2 O1,-0.207,2,2,1.0,0.031
random1285788,Cu₇₂H₄C₂O,mp-1120774,Cu,*COHCH3,C2 H4 O1,-2.34,1,1,1.0,0.0
random1183738,Cu₁₂₈H₄CO,mp-989695,Cu,*OHCH3,C1 H4 O1,-1.563,2,0,1.0,0.146
random1251882,Ni₃₆HN₂,mp-1094136,Ni,*N*NH,N2 H1,2.442,2,1,1.0,0.0
random1204979,HPt₇₂C₂O,mp-126,Pt,*CCHO,C2 H1 O1,-2.191,1,1,0.0,0.125
random1022073,Ni₄₈CN,mp-10257,Ni,*CN,C1 N1,-1.771,2,2,1.0,0.0
random62116,Ni₃₆N,mp-1094136,Ni,*N,N1,7.619,2,1,0.0,0.167
random1673683,Ni₇₂HN₂O,mp-1056486,Ni,*NONH,N2 H1 O1,1.635,2,1,0.0,0.083
random1935309,Ni₁₆HC,mp-1094136,Ni,*CCH2,C2 H2,-2.318,1,0,0.0,0.5
random1411889,HAu₁₈C,mp-1008634,Au,*CH*CH,C2 H2,-0.957,0,0,1.0,0.0
random1252107,Cu₆₄H₄C₂O,mp-989782,Cu,*CHCH2OH,C2 H4 O1,-1.522,1,0,1.0,0.0
random515559,Cu₇₂H₂CO,mp-989695,Cu,*CHOH,C1 H2 O1,0.417,2,1,2.0,0.167
random2093081,Cu₄₈N,mp-989782,Cu,*N,N1,1.379,2,2,1.0,0.0
random517833,Cu₇₂HN₂O,mp-30,Cu,*NONH,N2 H1 O1,2.432,2,1,0.0,0.083
random830361,Cu₇₂CN,mp-1010136,Cu,*CN,C1 N1,-0.676,1,0,2.0,0.083
random586676,Cu₆₄HNO,mp-989695,Cu,*ONH,N1 H1 O1,2.336,1,0,0.0,0.167
random1484816,H₃Au₉₆CO,mp-81,Au,*CH2OH,C1 H3 O1,-0.757,2,1,1.0,0.062
random1615740,Cu₆₄H₄C₂O,mp-989782,Cu,*CHOHCH2,C2 H4 O1,-1.845,0,0,1.0,0.0
random675571,Ni₆₄C,mp-23,Ni,*C,C1,0.034,1,0,0.0,0.25
random996399,Cu₇₂H₃CO,mp-989782,Cu,*OCH3,C1 H3 O1,-1.481,2,1,2.0,0.167
random1787352,Ni₃₂H₂CO,mp-10257,Ni,*CHOCH2OH,C2 H4 O2,-1.882,2,0,1.0,0.75
random1993816,Au₈₀N₂O,mp-1008634,Au,*N*NO,N2 O1,2.669,2,-1,2.0,0.2
random725608,Ni₁₆H₂CO,mp-1014111,Ni,*CHOCH2OH,C2 H4 O2,-2.995,1,0,1.0,0.5
random2167503,Ni₇₂H₆C₂O,mp-23,Ni,*OHCH2CH3,C2 H6 O1,-4.091,2,1,0.0,0.0
random1396967,Ag₅₄H₄C₂O,mp-989737,Ag,*CHCH2OH,C2 H4 O1,-0.563,2,1,-2.0,0.074
random102848,Ag₃₆H₃C,mp-124,Ag,*CH3,C1 H3,-1.279,1,0,0.0,0.25
random1744151,Cu₃₆HC,mp-1010136,Cu,*CCH2,C2 H2,-1.398,2,0,1.0,0.083
random2239377,Ni₄₈H₂CO,mp-1094136,Ni,*CHOH,C1 H2 O1,1.868,2,2,1.0,0.019
random2214912,H₂Au₃₆CO,mp-1008634,Au,*CHOHCHOH,C2 H4 O2,-0.523,2,1,0.0,0.0
random1481534,Cu₂₄C,mp-989695,Cu,*C*C,C2,-0.661,1,1,1.0,0.062
random1280110,H₄Pt₅₄C₂O,mp-126,Pt,*CHCH2OH,C2 H4 O1,-2.14,1,1,1.0,0.167
random1314787,Ni₃₂HC₂,mp-1014111,Ni,*CCH,C2 H1,2.362,1,0,2.0,0.0
random1370559,Cu₆₄H₅(CO)₂,mp-989782,Cu,*CHOHCH2OH,C2 H5 O2,-1.912,1,0,0.0,0.5
random463935,Ni₁₆NO₂,mp-1014111,Ni,*NO2NO2,N2 O4,5.038,1,0,1.0,0.5
random1690621,Ni₃₆H₂CO,mp-1094136,Ni,*CH2*O,C1 H2 O1,-2.163,2,1,0.0,0.167
random2218841,Ni₄₈H₃N,mp-10257,Ni,*NH3,N1 H3,-1.596,2,2,1.0,0.0
random1233658,Ag₈₁H₃C₂,mp-989737,Ag,*CHCH2,C2 H3,-1.511,1,0,-1.0,0.167
random1861336,Cu₇₂HO,mp-1010136,Cu,*OH,H1 O1,0.277,1,0,2.0,0.083
random1370185,H₅Au₄₈C₂O,mp-1008634,Au,*CH2CH2OH,C2 H5 O1,-2.838,1,1,1.0,0.0
random1840653,Cu₉₆H₂CO,mp-989782,Cu,*CH2*O,C1 H2 O1,-0.551,1,0,2.0,0.0
random1342092,Ni₇₂H₄CN₂O,mp-10257,Ni,*OHNNCH3,C1 N2 H4 O1,-1.415,2,1,1.0,0.0
random945036,Ni₁₈N,mp-1014111,Ni,*N2,N2,-0.347,2,1,0.0,0.167
random1003697,H₄Au₇₂C₂O,mp-1008634,Au,*COHCH3,C2 H4 O1,-2.431,2,1,1.0,0.0
random1491492,Ag₁₀₈HN₂O,mp-989737,Ag,*NONH,N2 H1 O1,2.457,2,-1,2.0,0.083
random719546,Cu₉₆HC₂O,mp-989782,Cu,*CHCO,C2 H1 O1,-1.993,1,0,2.0,0.0
random1406026,Cu₆₄HN,mp-989782,Cu,*NH,N1 H1,0.855,1,0,0.0,0.5
random1641387,Cu₆₄H₄C₂O,mp-1010136,Cu,*OCHCH3,C2 H4 O1,-3.063,2,1,1.0,0.125
random2073209,Cu₄₈HCO,mp-1120774,Cu,*COHCHO,C2 H2 O2,-0.483,1,0,1.0,0.291
random1658702,H₂Pt₆₀C₂O,mp-126,Pt,*CCHOH,C2 H2 O1,-1.849,2,2,1.0,0.05
random1205405,H₅Pt₇₂C₂O,mp-126,Pt,*CHOHCH3,C2 H5 O1,-3.377,2,1,0.0,0.083
random1820101,HPt₅₄,mp-126,Pt,*H,H1,-0.3,1,1,1.0,0.167
random592300,Ni₄₈HC₂,mp-10257,Ni,*CCH,C2 H1,-1.708,2,2,1.0,0.0
random1325107,Ni₇₂HN₂O,mp-10257,Ni,*NONH,N2 H1 O1,1.675,2,1,1.0,0.0
random1223013,Ni₃₂C,mp-10257,Ni,*C*C,C2,-1.836,2,0,1.0,0.0
random2339989,HAu₄₈C₂O,mp-81,Au,*CHCO,C2 H1 O1,-1.45,1,1,0.0,0.125
random1963207,Cu₆₄HN₂,mp-989782,Cu,*N*NH,N2 H1,1.839,1,0,0.0,0.0
random1925572,Ni₃₆H₂CO,mp-23,Ni,*CHOHCHOH,C2 H4 O2,-2.541,2,1,0.0,0.083
random828222,Cu₉₆H₆C₂O,mp-1120774,Cu,*OHCH2CH3,C2 H6 O1,-3.716,1,0,1.0,0.126
random1831389,Cu₅₄H₃C₂,mp-1010136,Cu,*CCH3,C2 H3,-2.339,1,0,0.0,0.25
random602945,Ni₃₆C,mp-1056486,Ni,*C*C,C2,-1.274,2,1,0.0,0.083
random665362,Ni₂₄H₃C₂O,mp-1094136,Ni,*COCH3,C2 H3 O1,-3.487,2,-1,2.0,0.0
random862461,Cu₄₈H₂CO,mp-989782,Cu,*CH2*O,C1 H2 O1,-0.537,2,2,1.0,0.0
random816863,Ni₇₂H(CO)₂,mp-23,Ni,*COCHO,C2 H1 O2,-2.243,2,1,0.0,0.083
random2189701,Ni₂₄H₃C₂,mp-1094136,Ni,*CHCH2,C2 H3,-3.577,2,-1,2.0,0.0
random958208,Cu₇₂H₆C₂N₂O,mp-1010136,Cu,*ONN(CH3)2,C2 N2 H6 O1,-1.285,1,0,2.0,0.083
random658002,Pt₇₂CN,mp-126,Pt,*CN,C1 N1,-1.157,1,1,0.0,0.125
random1350489,H₃Au₇₂(CO)₂,mp-1008634,Au,*CHOCHOH,C2 H3 O2,-0.433,2,1,1.0,0.167
random598068,HPt₃₀C,mp-126,Pt,*CCH2,C2 H2,-2.681,2,2,1.0,0.05
random2372415,H₄Au₄₈CN₂O,mp-1008634,Au,*OHNNCH3,C1 N2 H4 O1,0.939,1,0,1.0,0.0
random1306120,Ni₄₈HC,mp-10257,Ni,*CH*CH,C2 H2,-3.177,1,0,2.0,0.0
random1301761,Ag₅₄HCO,mp-989737,Ag,*COHCOH,C2 H2 O2,1.126,1,1,1.0,0.028
random1112547,Cu₄₈H₂CO,mp-989782,Cu,*CHOH,C1 H2 O1,-0.116,1,1,0.0,0.25
random2394271,Cu₈₀N,mp-1010136,Cu,*N,N1,1.315,2,2,1.0,0.05
random771770,Cu₆₄H₅C₂O,mp-989782,Cu,*CH2CH2OH,C2 H5 O1,-2.485,1,0,1.0,0.0
random1193239,Ni₂₇HC,mp-1008728,Ni,*CH*CH,C2 H2,-3.542,1,0,0.0,0.25
random1805371,Ni₄₈H₃NO,mp-10257,Ni,*OHNH2,N1 H3 O1,1.3,1,1,0.0,0.25
random705333,Ni₆₄H₃CO,mp-10257,Ni,*OCH3,C1 H3 O1,-1.094,2,0,1.0,0.0
random1275113,Cu₁₀₈H₃C₂O,mp-1120774,Cu,*CCH2OH,C2 H3 O1,-1.264,2,1,1.0,0.167
random1456863,Cu₃₂NO₂,mp-989782,Cu,*NO2NO2,N2 O4,7.695,1,0,0.0,0.0
random486170,Cu₆₄H₅(CO)₂,mp-1010136,Cu,*CHOHCH2OH,C2 H5 O2,-1.602,1,1,0.0,0.25
random1414691,Cu₄₈H₃CO,mp-989695,Cu,*OCH3,C1 H3 O1,-1.487,2,-1,2.0,0.125
random1664359,Ni₆₄H₅C₂,mp-10257,Ni,*CH2CH3,C2 H5,-3.878,2,0,1.0,0.75
random724957,Cu₉₆H₃CO,mp-30,Cu,*CH2OH,C1 H3 O1,-0.216,1,1,1.0,0.167
random676748,Cu₇₂O,mp-989695,Cu,*O,O1,0.633,2,1,1.0,0.069
random440701,Ni₄₈N,mp-10257,Ni,*N,N1,-0.3,1,1,0.0,0.25
random764420,Au₃₆NO₂,mp-1008634,Au,*NO2NO2,N2 O4,8.257,2,1,2.0,0.0
random463439,Cu₃₆HCO,mp-1120774,Cu,*COCH2O,C2 H2 O2,-1.291,1,1,1.0,0.166
random447248,H₅Pt₇₂(CO)₂,mp-126,Pt,*CHOHCH2OH,C2 H5 O2,-1.734,2,1,0.0,0.083
random894498,Ni₇₂HC,mp-1056486,Ni,*CH,C1 H1,-1.81,2,1,0.0,0.083
random536999,H₃Au₉₆(CO)₂,mp-81,Au,*CHOCHOH,C2 H3 O2,-0.566,2,1,1.0,0.062
random1419985,HAu₁₈CO,mp-1008634,Au,*COHCOH,C2 H2 O2,1.078,2,0,1.0,0.0
random2093636,Ag₅₄H₄CN,mp-989737,Ag,*NH2N(CH3)2,C2 N2 H8,-3.756,1,1,1.0,0.028
random1637392,Cu₇₂H₃C₂,mp-989782,Cu,*CCH3,C2 H3,-1.94,2,1,0.0,0.0
